gen,sp,group,en,cnt,loc,lat,lng,alt,method,date,rmk
Arborophila,torqueola,birds,Hill Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2500,field recording,2010-12-07,
Arborophila,torqueola,birds,Hill Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2800,field recording,2011-04-17,bird not seen
Arborophila,torqueola,birds,Hill Partridge,India,"Yingkiong, Arunachal Pradesh",28.6333495,94.9747467,?,field recording,2006-03-24,
Arborophila,torqueola,birds,Hill Partridge,India,Lama Camp Eagle Nest wildlife sanctuary Arunachal Pradesh,27.1567,92.4606,2400,field recording,2017-03-02,"Forest slope high above the camp 
"
Arborophila,torqueola,birds,Hill Partridge,India,"George Everest, Uttarakhand",30.4589,78.0232,,field recording,2019-04-17,"Quiet calls from a male bird on the ground in tall rhododendron forest, first foraging and then walking away slowly. Archived at the Macaulay Library as ML173069371"
Arborophila,torqueola,birds,Hill Partridge,India,"Lama Camp, near Eaglenest WLS, Arunachal Pradesh",27.1567,92.4606,2400,field recording,2019-03-24,
Arborophila,torqueola,birds,Hill Partridge,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-18,Alternative song.
Arborophila,torqueola,birds,Hill Partridge,India,"Eaglenest Pass, Eaglenest WLS, Arunachal Pradesh",27.1253,92.4553,2800,field recording,2019-04-23,
Arborophila,torqueola,birds,Hill Partridge,India,"Makku Math, Rudraprayag, Uttarakhand",30.4784,79.1406,1600,field recording,2018-04-12,
Arborophila,torqueola,birds,Hill Partridge,India,"Mud Hut, Chopta/Chamoli, Uttarakhand",30.4776,79.211,2900,field recording,2018-03-18,"Bird calling up slope and away from me, possibly at distance of 250 m.  Never seen.  Recording engineered around frequency of call and upped in volume.  Ssp inferred from location only."
Arborophila,torqueola,birds,Hill Partridge,India,"Uliyani, Pauri Garhwal, Uttarakhand",29.946,79.1228,2000,field recording,2017-07-27,
Arborophila,torqueola,birds,Hill Partridge,India,vinayak near pangot uttrakand,29.485,79.354,2300,field recording,2016-04-08,
Arborophila,torqueola,birds,Hill Partridge,India,pangot  uttarakhand,29.443,79.418,2200,field recording,2016-04-05,
Arborophila,torqueola,birds,Hill Partridge,India,Kedarnath Wild Life Sanctuary,,,2700,field recording,2016-04-09,
Arborophila,torqueola,birds,Hill Partridge,India,pangot uttarakhand,29.426,79.436,2000,field recording,2012-05-16,
Arborophila,torqueola,birds,Hill Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2550,field recording,2011-04-18,
Arborophila,torqueola,birds,Hill Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2800,field recording,2011-04-22,in response to playback
Arborophila,torqueola,birds,Hill Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2800,field recording,2011-04-22,natural calls
Arborophila,torqueola,birds,Hill Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2800,field recording,2011-04-22,calling in response to playback
Arborophila,torqueola,birds,Hill Partridge,India,"Masrana, Mussoorie Forest Division",30.4525,78.1545,2100,field recording,2023-05-07,"Noise reduction applied to remove low-frequency hum
Oak-Rhododendron forest with mostly Berberis sp. undergrowth. Bird was on the ground, 75m+ away.
Warm, sunny morning."
Arborophila,torqueola,birds,Hill Partridge,India,"Nainital (near  Naina Range), Kumaon Division, Uttarakhand",29.388,79.4392,2000,field recording,2023-02-16,"On slopes above Naini Tal Botanical Gardens
"
Arborophila,torqueola,birds,Hill Partridge,India,"Eagle Nest, Bompu camp area, Arrunachal Pradesh",27.11667,92.43333,,field recording,2018-04-03,ID based on similarity with XC115139.
Arborophila,torqueola,birds,Hill Partridge,India,sattal uttrakhand,29.348,79.529,1300,field recording,2015-09-23,
Arborophila,torqueola,birds,Hill Partridge,India,"Jeolikote, Nainital, Uttarakhand",29.3436,79.4835,1300,field recording,2016-10-19,assuming it to be an alarm call since we were near the bird. Not sure
Arborophila,torqueola,birds,Hill Partridge,India,"Jungle Lore Birding Lodge, Pangot, Uttarakhand",29.423,79.426,2200,field recording,2011-03-03,Several calling in the early morning on the other side of Pangot. Hannu Jannes ID this as the less commonly heard call from this species not Rufous-throated Partridge.
Arborophila,torqueola,birds,Hill Partridge,India,"latpanchar, Darjeeling, West Bengal",26.9172,88.3898,1700,field recording,2020-03-05,Recorded in the montane forest of Latpanchar.
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Bompu Camp, Eaglenest, Arunachal Pradesh",27.066,92.4064,1900,field recording,2017-03-04,
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Bompu Camp, Eaglenest, Arunachal Pradesh",27.066,92.4064,1900,field recording,2017-03-04,
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Lama Camp, near Eaglenest WLS, Arunachal Pradesh",27.1567,92.4606,2400,field recording,2019-03-19,
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,1700,field recording,2011-04-21,
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Bompu, Arunachal Pradesh",27.11667,92.43333,?,field recording,2009-02-15,"Three birds at very close range, scratching through fallen leaves inside roadside vegetation. link:http://www.bluerobin.nl"
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Dibang Valley, Arunachal Pradesh",28.2278,95.8778,?,field recording,2006-03-17,
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Bompu Camp, Eaglenest, Arunachal Pradesh",27.066,92.4064,1900,field recording,2017-03-04,
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Eagle Nest, Lama camp area, Arrunachal Pradesh",27.1567,92.4606,,field recording,2018-03-29,ID based on comparison with other XC recordings.
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Eagle Nest, Lama camp area, Arrunachal Pradesh",27.1567,92.4606,,field recording,2018-03-29,ID based on comparison with other XC recordings.
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,1800,field recording,2011-04-21,
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2200,field recording,2006-04-07,A single trilling upwardly inflected note repeated
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Mid Elevation, Mishmi Hills, Arunachal Pradesh",28.2407,95.8663,1800,field recording,2019-04-07,
Arborophila,mandellii,birds,Chestnut-breasted Partridge,India,"Yingkiong, Arunachal Pradesh",28.6333495,94.9747467,?,field recording,2006-03-17,unusual song variant
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,1300,field recording,2011-04-19,
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Khonoma Village, Nagaland",25.6501,94.0334,?,field recording,2005-12-25,
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Benreu, Peren, Nagaland",25.5719,93.8576,1900,field recording,2018-11-07,It was just after sunset at 4.30 pm and spent 30 minutes listening to delightful sounds of Mountain Bamboo Partridges and Rufous-throated partridges.  Last birds to call were Blyth's Tragopan . There were calling from about 1500 ft above of us it seemed. But at least there were three or four birds.  Called for about 5 minutes. This is one of the cuts.
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Eagle Nest, Sessni area and lower, Arrunachal Pradesh",27.0223,92.4139,,field recording,2018-04-02,
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Eagle Nest, Sessni area and lower, Arrunachal Pradesh",27.0223,92.4139,,field recording,2018-04-02,
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Eagle Nest, Sessni area and lower, Arrunachal Pradesh",27.0223,92.4139,,field recording,2018-04-02,
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,pangot  uttarakhand,29.443,79.418,2200,field recording,2016-04-05,
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,1800,field recording,2013-04-28,near Sessi. song and duet
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,1300,field recording,2011-04-19,
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Sessni Camp, Eaglenest, Arunachal Pradesh",27.047,92.419,1250,field recording,2017-03-04,
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Sattal, Nainital, Uttarakhand",29.3524,79.5283,1300,field recording,2013-05-18,This birds are very close. Less than 7 feet. Total two individuals seen both are singing
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,1300,field recording,2011-04-21,
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Bompu, Arunachal Pradesh",27.11667,92.43333,?,field recording,2009-02-16,Singing from inside forest. link:http://www.bluerobin.nl
Arborophila,rufogularis,birds,Rufous-throated Partridge,India,"Yingkiong, Arunachal Pradesh",28.6333495,94.9747467,?,field recording,2006-03-22,
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Manas National Park, Assam",26.672638,91.004331,,field recording,2018-04-08,
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Digboi Oilfields, Assam",27.3806,95.6306,180,field recording,2013-04-05,There are certainly two different birds - presumably a pair - dueting on this track. Same birds as on  XC156568. The first few notes may be missing
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Digboi Oilfields, Assam",27.3806,95.6306,180,field recording,2013-04-05,There seem to be two different birds - presumably a pair - on this track but not confirmed by observation.
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Digboi Oilfields, Assam",27.3806,95.6306,180,field recording,2013-04-05,Full song followed by a few quiet calls
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Garbhanga Forest (near  Guwahati), Kamrup Metropolitan, Assam",26.0967,91.7036,100,unknown,2023-01-29,
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Manas National Park, Assam",26.672638,91.004331,,field recording,2018-04-08,
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Manas National Park,Baksa, Assam",26.6708,91.0019,60,field recording,2018-05-23,Dense undergrowth on the edge of main road. Clear sunny weather.
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Manas National Park,Baksa, Assam",26.6708,91.0019,60,field recording,2018-05-23,Dense undergrowth on the edge of main road. Clear sunny weather.
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Digboi Oilfields, Assam",27.3806,95.6306,180,field recording,2013-04-05,Various calls
Arborophila,atrogularis,birds,White-cheeked Partridge,India,Namdapha,27.6397,96.6248,3200,field recording,2003-01-15,
Arborophila,atrogularis,birds,White-cheeked Partridge,India,Namdapha,27.63974,96.624756,400,field recording,2011-10-00,
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Nameri National Park, Assam",26.9498,92.7053,?,field recording,2007-08-01,
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Manas National Park, Assam",26.672638,91.004331,,field recording,2018-04-08,Soft calls.
Arborophila,atrogularis,birds,White-cheeked Partridge,India,"Digboi, Tinsukia District, Assam",,,?,field recording,1998-01-02,bird singing
Lerwa,lerwa,birds,Snow Partridge,India,"Sela pass area, Arrunachal Pradesh",27.4928,92.1074,3800,field recording,2017-02-28,"8 birds together, a few of them calling."
Lerwa,lerwa,birds,Snow Partridge,India,"Sela pass area, Arrunachal Pradesh",27.492778,92.107358,,field recording,2018-04-04,
Lerwa,lerwa,birds,Snow Partridge,India,"Sela pass area, Arrunachal Pradesh",27.492778,92.107358,,field recording,2018-04-04,
Lerwa,lerwa,birds,Snow Partridge,India,"Sela pass area, Arrunachal Pradesh",27.4928,92.1074,3800,field recording,2017-02-28,"8 birds together, a few of them calling."
Lerwa,lerwa,birds,Snow Partridge,India,"Sela pass area, Arrunachal Pradesh",27.4928,92.1074,3800,field recording,2017-02-28,"8 birds together, a few of them calling."
Lerwa,lerwa,birds,Snow Partridge,India,"Sela pass area, Arrunachal Pradesh",27.492778,92.107358,,field recording,2018-04-04,
Lerwa,lerwa,birds,Snow Partridge,India,"Se La Pass, Tawang",27.503,92.104,4200,field recording,2010-12-16,
Lerwa,lerwa,birds,Snow Partridge,India,"Sela pass area, Arrunachal Pradesh",27.4928,92.1074,3800,field recording,2017-02-28,"8 birds together, a few of them calling.  Open slopes above tree line  at 3800m
"
Lerwa,lerwa,birds,Snow Partridge,India,"Tungnath, Chamoli, Uttarakhand",30.4897,79.223,3500,field recording,2013-05-24,"it's high attitude bird very camouflage  hardly to seen in summer . after 3:00 hour trek in low oxygen[4:00 k.m]
got it  this bird seen in 6 flock   "
Ithaginis,cruentus,birds,Blood Pheasant,India,"Sela pass area, Arrunachal Pradesh",27.4928,92.1074,4000,field recording,2019-04-25,
Ithaginis,cruentus,birds,Blood Pheasant,India,"Sela pass area, Arrunachal Pradesh",27.492778,92.107358,,field recording,2018-04-04,
Ithaginis,cruentus,birds,Blood Pheasant,India,"Sela pass area, Arrunachal Pradesh",27.492778,92.107358,,field recording,2018-04-04,
Ithaginis,cruentus,birds,Blood Pheasant,India,"Sela pass area, Arrunachal Pradesh",27.492778,92.107358,,field recording,2018-04-04,
Tragopan,melanocephalus,birds,Western Tragopan,India,"Shimla, Himachal Pradesh",31.4084,77.8393,2400,field recording,2016-05-05,
Tragopan,melanocephalus,birds,Western Tragopan,India,"Sarahan, Shimla, Himachal Pradesh",31.52,77.8,2200,field recording,2012-04-26,"Call recorded from a female at the conservation breeding center in Sarahan, Shimla, Himachal Pradesh"
Tragopan,melanocephalus,birds,Western Tragopan,India,"Sarahan, Shimla, Himachal Pradesh",31.52,77.8,2200,field recording,2012-05-02,"This call was recorded from a male Western tragopan at the conservation breeding center located in Sarahan, Shimla, Himachal Pradesh. This is a characteristic call given by the males only during the breeding season (April-May, or sometimes even June). "
Tragopan,satyra,birds,Satyr Tragopan,India,"Yingkiong, Arunachal Pradesh",28.6333495,94.9747467,2500,field recording,2006-03-25,
Tragopan,satyra,birds,Satyr Tragopan,India,"Near Gairibas, Singalila National Park, India.",27.0467,88.0423,2719,field recording,2011-03-29,Recorded during World Pheasant Association - India study trip on Status of Red-breasted Hill-Partridge. 
Tragopan,blythii,birds,Blyth's Tragopan,India,"Sundarview, Eaglenest Wildlife Sanctuary, Arunachal Pradesh, India",27.0757,92.407,2465,field recording,2016-01-05,Single male calling from 10 mts away. The skies were heavily overcast and it threatened to rain any moment. The bird was in the vicinity for a good 10 mins.
Tragopan,blythii,birds,Blyth's Tragopan,India,"Mishmi Hills, below  Muyudia hotel, 2000-2400m, Arunachal Pradesh",28.2311,95.8988,2400,field recording,2013-04-10,Calls of a male sitting on an open branch on the slope some 20m below me
Tragopan,blythii,birds,Blyth's Tragopan,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2200,field recording,2012-04-25,Natural song - same bird as XC106122. Missed the first couple of notes
Tragopan,blythii,birds,Blyth's Tragopan,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2320,field recording,2011-03-24,Response to playback. 
Tragopan,blythii,birds,Blyth's Tragopan,India,"Mayodia Pass, Arunachal Pradesh",28.2334,95.9167,2500,field recording,2006-03-18,
Tragopan,blythii,birds,Blyth's Tragopan,India,"Benreu, Peren, Nagaland",25.5719,93.8576,1900,field recording,2018-11-07,It was just after sunset at 4.30 pm and spent 30 minutes listening to delightful sounds of Mountain Bamboo Partridges and Rufous-throated partridges. It was serenest moment in my life. Last birds to call were Blyth's Tragopan . There were calling from about 1500 ft above of us it seemed. But at least there were three or four birds.  Called for about 5 minutes.
Tragopan,blythii,birds,Blyth's Tragopan,India,"Eagle Nest, Bompu camp area, Arrunachal Pradesh",27.11667,92.43333,,field recording,2018-04-01,
Tragopan,blythii,birds,Blyth's Tragopan,India,"Mishmi Hills, below  Muyudia hotel, 2000-2400m, Arunachal Pradesh",28.2311,95.8988,2400,field recording,2013-04-09,"The duck-like ""quacking"" is a bird calling in response to playback of the shorter call that is also heard on this track."
Tragopan,blythii,birds,Blyth's Tragopan,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2200,field recording,2012-04-25,"Missed the first couple of quiet calls that preceded this series. Presumably a male - singing from upslope, possilbly in a tree."
Tragopan,blythii,birds,Blyth's Tragopan,India,Bompu Camp Eagles Nest at 1950 m,27.0663,92.4063,2000,field recording,2017-03-06,"One distant bird on forest slope above its roost in dense bamboo. above Bompu Camp
"
Tragopan,blythii,birds,Blyth's Tragopan,India,"Bompu Camp, Eaglenest, Arunachal Pradesh",27.066,92.4064,1900,field recording,2019-04-24,
Tragopan,blythii,birds,Blyth's Tragopan,India,"Benreu, Peren, Nagaland",25.5719,93.8576,1900,field recording,2018-11-07,It was just after sunset at 4.30 pm and spent 30 minutes listening to delightful sounds of Mountain Bamboo Partridges and Rufous-throated partridges.  Last birds to call were Blyth's Tragopan . There were calling from about 1500 ft above of us it seemed. But at least there were three or four birds.  Called for about 5 minutes. This is one of the cuts.
Tragopan,blythii,birds,Blyth's Tragopan,India,Bompu Camp Eagles Nest at 1950 m,27.0663,92.4063,2000,field recording,2017-03-06,"One distant bird on forest slope above its roost in dense bamboo. above Bompu Camp
"
Tragopan,temminckii,birds,Temminck's Tragopan,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2700,field recording,2013-04-26,Very quiet calls of a tragopan throughout this track - distant and not very clear.
Lophophorus,impejanus,birds,Himalayan Monal,India,"Tungnath, Uttarakhand",30.4882,79.2169,,field recording,2019-04-21,"Calls from a distant male in a large clearing surrounded by mixed, grazed forest. Archived at the Macaulay Library as ML172621861"
Lophophorus,impejanus,birds,Himalayan Monal,India,"Sau Kharak, Uttarakhand",30.4789,79.2111,,field recording,2019-04-21,Calls from a female flushing at close range. Archived at the Macaulay Library as ML172624011
Lophophorus,impejanus,birds,Himalayan Monal,India,"Sau Kharak, Uttarakhand",30.4789,79.2111,,field recording,2019-04-21,"Calls from a distant, unseen male on a steep, cliffy slope covered in tall grass and short bushes. Archived at the Macaulay Library as ML172624021"
Lophophorus,impejanus,birds,Himalayan Monal,India,"NH 107A, Chamoli IN-Uttarakhand (30.4804,79.2012), Uttarakhand",30.4804,79.2012,,field recording,2019-07-14,Archived at the Macaulay Library as ML176206401
Lophophorus,impejanus,birds,Himalayan Monal,India,"NH 107A, Chamoli IN-Uttarakhand (30.4804,79.2012), Uttarakhand",30.4804,79.2012,,field recording,2019-07-14,Calls from two juveniles and a female on a steep slope. Archived at the Macaulay Library as ML176206451
Lophophorus,impejanus,birds,Himalayan Monal,India,"Bhulkan, Chamoli, Uttarakhand",30.4741,79.2183,2900,field recording,2018-04-10,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Bhulkan, Chamoli, Uttarakhand",30.4741,79.2183,2900,field recording,2015-04-30,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Sarahan, Shimla, Himachal Pradesh",31.52,77.8,2200,field recording,2013-01-20,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Sarahan, Shimla, Himachal Pradesh",31.52,77.8,2200,field recording,2012-03-25,"Call from a captive bird in Shimla, Himachal Pradesh."
Lophophorus,impejanus,birds,Himalayan Monal,India,"Sarahan, Shimla, Himachal Pradesh",31.52,77.8,2200,field recording,2012-03-25,"Call from a captive bird in Shimla, Himachal Pradesh. "
Lophophorus,impejanus,birds,Himalayan Monal,India,"Sau Kharak, Uttarakhand",30.4789,79.2111,,field recording,2019-07-10,Archived at the Macaulay Library as ML173736931
Lophophorus,impejanus,birds,Himalayan Monal,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-18,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-18,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-18,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-18,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-17,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Khaliya Top, Munsiyari",,,2800,field recording,2018-04-04,
Lophophorus,impejanus,birds,Himalayan Monal,India,Chopta,,,2700,field recording,2016-04-08,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Great Himalayan NP, Himachal Pradesh",31.6881,77.4837,3000,field recording,2003-04-04,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Tungnath, Chamoli, Uttarakhand",30.4897,79.223,3500,field recording,2013-05-24,very beautiful bird 
Lophophorus,impejanus,birds,Himalayan Monal,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-18,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Sela pass area, Arrunachal Pradesh",27.4928,92.1074,4000,field recording,2019-04-25,Male calling with single notes from far below (a spot it flew off to)
Lophophorus,impejanus,birds,Himalayan Monal,India,"Bhulkan, Chamoli, Uttarakhand",30.4741,79.2183,2900,field recording,2018-04-10,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Bhulkan, Chamoli, Uttarakhand",30.4741,79.2183,2900,field recording,2017-06-10,
Lophophorus,impejanus,birds,Himalayan Monal,India,"Sarahan, Shimla, Himachal Pradesh",31.52,77.8,2200,field recording,2012-06-14,"Call from a captive bird in Shimla, Himachal Pradesh. The calls in the background are of Kalij pheasant (Lophura leucomelanos hamiltoni)."
Lophophorus,impejanus,birds,Himalayan Monal,India,"Chordwari, Great Himalayan National park Himachal Pradesh",31.7282,77.4921,3800,field recording,2012-09-15,Himalayan Monal calling as it flew from top of a hill above 500 ft from us into a valley below. Call is looped so one can listen to it. On the way we saw some areas where the birds had been scratching. Co-ordinates are approximate. A female follwed a couple of minutes later.
Lophophorus,impejanus,birds,Himalayan Monal,India,"Munsyari, Pithoragarh, Uttarakhand",30.0767,80.2333,2550,field recording,2017-02-26,Bird heard in the background of the [Cheer Pheasant](http://www.xeno-canto.org/357105) also heard in the background is the [Himalayan Owl](http://www.xeno-canto.org/357106)
Lophophorus,impejanus,birds,Himalayan Monal,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-18,Calls of a distant bird during a gliding display flight.
Lophophorus,sclateri,birds,Sclater's Monal,India,"Mishmi Hills nr Muyudia Pass, Arunachal Pradesh",28.241,95.9271,2600,field recording,2013-04-07,A female plumaged bird flying off down a long slope
Lophophorus,sclateri,birds,Sclater's Monal,India,"Mishmi Hills nr Muyudia Pass, Arunachal Pradesh",28.241,95.9271,2600,field recording,2013-04-07,A female plumaged bird at very close range (<20m) perched on a side branch of a large tree stump
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Rudraprayag (near  Gaundhar), Garhwal Division, Uttarakhand",30.6335,79.2106,3400,field recording,2023-04-20,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Kanchula Kharak, Uttarakhand",30.4782,79.2106,,field recording,2019-04-21,"Songs from a male at dawn. While vocalizing it was sitting at mid-height in a tall pine tree on a steep slope, with a female perched nearby. Archived at the Macaulay Library as ML172623291"
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-18,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Chopta, Kedarnath NP, Uttarakhand",30.48,79.2,,field recording,2019-04-18,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Bhulkan, Chamoli, Uttarakhand",30.4741,79.2183,2900,field recording,2018-04-10,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Mud Hut, Chopta/Chamoli, Uttarakhand",30.4776,79.211,2900,field recording,2018-03-18,"At least five individuals, males presumably, calling from hillside forests around me.  Distance of closest bird probably 200 m or so.  Ssp inferred from location only."
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Kunjkhadak, Almora, Uttarakhand",29.5032,79.3197,2500,field recording,2016-04-08,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Sarahan, Shimla, Himachal Pradesh",31.52,77.8,2200,field recording,2016-10-28,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,pangot  uttarakhand,29.443,79.418,2200,field recording,2016-04-08,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Shimla, Himachal Pradesh",31.1053,77.2399,2500,field recording,2015-04-30,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Dogalbhita, Chamoli, Uttarakhand",30.491,79.1984,2700,field recording,2015-05-06,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Pangoot, Nainital, Uttarakhand",29.4154,79.4456,2400,field recording,2013-10-20,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,vinayak near pangot uttrakand,29.485,79.354,2300,field recording,2012-11-28,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Tilam Top, Walong, Arunachal Pradesh",28.17,97.021,1800,field recording,2019-11-17,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"NW of Pangot, Uttarakhand",29.46,79.38,,field recording,2019-04-13,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"NW of Pangot, Uttarakhand",29.46,79.38,,field recording,2019-04-13,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Sarahan, Shimla, Himachal Pradesh",31.52,77.8,2200,field recording,2013-01-09,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,vinayak near pangot uttrakand,29.485,79.354,2300,field recording,2012-11-24,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"NW of Pangot, Uttarakhand",29.46,79.38,,field recording,2019-04-13,
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Dandachalli, Tehri Garhwal, Uttarakhand",30.3005,78.4223,2000,field recording,2017-10-12,"Bird was 100m+ distant. Recording was amplified, but otherwise unmodified.
Bird was calling from Deodar (Cedrus deodara) and Banj Oak (Quercus leucotrichophora)- Mixed forest.
Clear and cool dawn. 12-15 degrees C."
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Great Himalayan NP, Himachal Pradesh",31.6881,77.4837,3000,field recording,2003-04-04,34 monals in the ara
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Chordwari, Great Himalayan National park Himachal Pradesh",31.7282,77.4921,3800,field recording,2012-09-12,Early morning there were at least four males in the surrounding region answering each other. After about 10 minutes they all stopped. It was a foggy morning. Never heard their call after that. 
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Cheer Pheasant overlook, Pangot, Uttarakhand",29.4673,79.3889,2700,field recording,2011-03-02,This call came from a female that was flushed and flew down hill from us.
Pucrasia,macrolopha,birds,Koklass Pheasant,India,"Cheer Pheasant overlook, Pangot, Uttarakhand",29.4673,79.3889,2700,field recording,2011-03-02,This one call came from a male after gliding down the ridge in front of us and scurrying away. img:http://www.surfbirds.com/media/gallery_photos/20110413050557.jpg
Catreus,wallichii,birds,Cheer Pheasant,India,Hanumangarhi Nainital Uttarakhand,29.3654,79.4589,1900,field recording,2020-04-19,
Catreus,wallichii,birds,Cheer Pheasant,India,"Sarahan, Shimla, Himachal Pradesh",31.52,77.8,2200,field recording,2013-06-06,
